# electricity, temperature, time
0.000 213.250 0.000
0.114 214.850 60.000
0.114 216.750 120.000
0.117 219.250 180.000
0.126 222.250 240.000
0.135 225.250 300.000
0.147 228.250 360.000
0.165 231.350 420.000
0.189 234.450 480.000
0.225 237.450 540.000
0.290 240.550 600.000
0.360 243.350 660.000
0.510 246.150 720.000
0.700 248.950 780.000
0.980 251.650 840.000
1.380 254.550 900.000
1.920 257.650 960.000
2.430 260.750 1020.000
2.760 263.750 1080.000
2.640 266.950 1140.000
2.130 269.850 1200.000
1.440 272.650 1260.000
0.900 275.250 1320.000
0.780 277.950 1380.000
0.750 280.650 1440.000
0.760 283.450 1500.000
0.820 286.350 1560.000
0.910 289.250 1620.000
0.950 292.050 1680.000
1.020 294.750 1740.000
1.050 297.650 1800.000
1.080 300.550 1860.000
1.110 303.550 1920.000
1.200 306.550 1980.000
1.380 309.650 2040.000
1.590 312.550 2100.000
1.740 315.450 2160.000
1.920 318.350 2220.000
2.040 321.150 2280.000
2.040 323.950 2340.000
1.860 326.850 2400.000
1.620 329.650 2460.000
